abbreviation,region name,brain area,5MEO1 count,5MEO2 count,5MEO3 count,5MEO4 count,5MEO5 count,5MEO6 count,5MEO7 count,5MEO8 count,6-F-DET1 count,6-F-DET2 count,6-F-DET3 count,6-F-DET4 count,6-F-DET5 count,6-F-DET6 count,6-F-DET7 count,6-F-DET8 count,A-SSRI1 count,A-SSRI2 count,A-SSRI3 count,A-SSRI4 count,A-SSRI5 count,A-SSRI6 count,A-SSRI7 count,A-SSRI8 count,C-SSRI1 count,C-SSRI2 count,C-SSRI3 count,C-SSRI4 count,C-SSRI5 count,C-SSRI6 count,C-SSRI7 count,C-SSRI8 count,KET1 count,KET2 count,KET3 count,KET4 count,KET5 count,KET6 count,KET7 count,KET8 count,MDMA1 count,MDMA2 count,MDMA3 count,MDMA4 count,MDMA5 count,MDMA6 count,MDMA7 count,MDMA8 count,PSI1 count,PSI2 count,PSI3 count,PSI4 count,PSI5 count,PSI6 count,PSI7 count,PSI8 count,SAL1 count,SAL2 count,SAL3 count,SAL4 count,SAL5 count,SAL6 count,SAL7 count,SAL8 count
FRP,Frontal pole cerebral cortex,Cortex,9574,7781,17598,4425,7428,8302,4288,5278,2527,3366,2431,15881,17294,10002,10655,14578,4297,2320,1873,3262,2331,1737,6635,1847,775,1302,833,1647,1570,1614,896,1091,2831,9015,1917,9439,7207,11913,5499,14033,14101,14080,13021,14608,13623,14286,13326,17120,2980,9268,1655,6935,3343,12453,3367,4342,7404,4925,12521,10363,4562,14383,789,6067
ILA,Infralimbic area,Cortex,12138,6742,28070,1685,15612,17191,6061,7449,5439,8905,3175,9611,21586,6566,11255,18982,5028,11432,14109,13773,13181,20988,7812,9091,3352,6365,7511,5790,6080,6828,8769,6725,25271,15461,18687,22493,12659,15366,16999,26786,15678,19926,14024,15188,15311,16781,14288,16770,7100,4751,8543,10770,14144,14811,7591,5778,9665,8049,10853,2844,15747,15412,11667,21630
ORBl,Orbital area lateral part,Cortex,48129,45849,120147,28655,40438,54206,39938,24600,17575,23939,13940,43990,96309,17561,51354,96023,16644,37202,28689,25857,23043,15582,30958,17778,9138,9322,20219,13593,11475,24451,19115,10781,17926,22636,24719,23487,40309,76729,45833,80466,68356,78932,67971,77775,62394,72820,71162,85102,17561,35397,18642,43822,17903,49755,8291,14603,56825,30618,58755,14705,26686,59049,5192,36019
ORBm,Orbital area medial part,Cortex,17225,8551,34163,6330,14908,23250,7993,10001,13641,10399,6992,19634,29069,13848,24438,29788,6143,12661,17336,13613,16076,16278,14271,9314,4652,8659,7595,8839,8097,11962,15415,6527,25699,32217,20442,27873,22797,25571,22001,37775,25368,30527,24049,28737,23314,27425,24975,26712,7340,13098,7450,13737,9674,17185,4878,7177,13035,16101,14017,7855,14478,30999,10051,28545
ORBvl,Orbital area ventrolateral part,Cortex,32690,24460,58132,16015,24182,31926,15148,14591,15846,13711,9594,43011,39520,17580,36928,46203,11682,24502,36990,24050,20598,16528,28842,10982,13188,13533,23090,17166,14770,22438,24899,15109,22607,35566,20086,24339,35089,50281,36423,68908,46672,56932,49838,52966,45623,50132,51186,58512,14416,19928,11629,24961,9789,16961,5081,9116,37775,26349,33593,10743,21789,37644,9320,23276
AId,Agranular insular area dorsal part,Cortex,27675,33674,142433,31908,29145,51636,39032,31133,20036,29356,20673,44764,76532,27372,39252,72754,14605,15198,11975,12488,28418,14536,13091,20905,3899,5779,6045,10318,6164,11008,3554,3629,13996,12826,17126,44172,23369,35567,19471,54048,59674,61877,54151,56931,49588,52090,59529,57413,13135,32009,20910,40175,32623,61103,39032,35849,45924,16549,34318,11374,23513,34317,13888,33825
AIp,Agranular insular area posterior part,Cortex,14988,10315,35142,14553,11422,23320,23231,21736,12012,9296,18478,28394,36772,21652,13321,44896,16409,9414,7116,13154,24693,17012,7253,18837,3229,6060,3509,6762,6123,5268,3188,3601,19857,17050,17545,51337,16530,23549,19782,29308,25047,31878,22751,23930,24378,21190,25273,28341,6332,13668,13472,23588,16635,27582,27630,18816,26104,10171,13467,8642,24600,20895,13778,32166
AIv,Agranular insular area ventral part,Cortex,11743,15781,62167,14611,13968,27256,20453,13995,10240,13773,9428,18483,36312,12118,22062,37109,9821,15879,11689,15838,19235,12306,12327,14827,7269,7130,8873,9072,7413,9282,5129,3866,21560,15005,14757,32659,17454,22130,21582,38341,26246,28335,22962,24483,28680,26180,26315,26228,5457,13699,11405,19692,8915,20117,11620,9970,26017,13822,23559,4142,17378,19937,9188,38037
RSPagl,Retrosplenial area lateral agranular part,Cortex,26242,9762,36066,15133,11147,17832,7208,21735,18139,4558,14428,24639,42949,25850,23915,34721,15133,24749,25622,30641,13331,25114,13218,16085,11922,19108,12079,12608,13028,13841,15241,13118,33097,62112,21965,86888,41925,60580,42582,65221,59007,55448,41924,56186,42077,53631,52081,61960,12104,31328,8918,28492,23310,23569,20570,24263,34630,36011,37675,10113,25258,13317,14085,22788
RSPd,Retrosplenial area dorsal part,Cortex,22295,9280,33625,11297,8479,18555,11241,17299,29553,6165,15245,27147,62690,31866,29657,40226,18329,25369,23375,35179,16741,25149,13698,18772,12902,21235,10266,13591,16424,11048,23015,14551,32350,57754,19301,84396,40698,73651,55766,74338,81945,73501,59648,74917,57503,84147,74360,96654,12719,32300,8791,32183,18856,15038,14432,24744,35197,49432,47584,12537,24791,9895,11695,19132
RSPv,Retrosplenial area ventral part,Cortex,19326,7706,30384,6428,9849,11236,12735,11504,44490,11944,8265,24377,76960,31054,35959,36983,23408,28252,31993,37309,17451,39499,28273,15072,16006,17996,20848,14091,19306,27365,32177,19845,8887,26422,4453,47398,45649,64081,57777,108908,77536,75790,58641,61717,57867,86875,72200,89050,19810,31364,10188,31224,10283,5076,4347,10905,32637,66848,33298,10995,10985,2295,4153,7929
PL,Prelimbic area,Cortex,35975,23459,57174,5694,29703,31896,13428,17672,25139,12321,9672,36252,66235,21125,36585,56090,12922,24065,29145,31021,30130,34227,27525,16381,12105,15030,17360,12260,15513,18754,18719,14443,40904,59001,32112,73796,41009,39761,38732,83160,51182,58529,48159,54999,47616,57682,48343,58932,18148,22154,13754,24873,34695,35552,15529,14571,21602,29451,26230,18737,34240,28864,15369,30557
VISa,Anterior area,Cortex,15267,10201,32835,19709,5599,17278,7300,15248,6229,2475,4272,11493,21930,8479,12745,8204,2548,13042,20386,18868,9565,14363,7588,1327,6343,8530,11814,4606,4322,10567,13092,8721,10766,20314,5890,39519,22020,39149,19353,34189,45982,34661,27705,37330,25131,37579,35869,39953,8258,14971,3016,19414,11452,18464,8058,10186,15616,15756,23296,683,17931,3262,1693,15317
TEa,Temporal association areas,Cortex,52795,57293,96352,60874,38937,62307,100752,65762,24858,8894,61743,67551,110229,65737,72101,94000,35667,47646,53008,56115,80049,53272,28418,34681,10717,38952,23385,29336,32971,21215,24131,20872,77141,72340,78401,122321,68802,58826,58877,83786,73444,74763,48960,81022,68533,66697,57908,83545,19947,55480,34243,61952,67287,60929,67409,64459,79354,58739,46710,19766,54917,26929,33509,97924
PERI,Perirhinal area,Cortex,3984,5134,15302,6161,4687,7805,17947,10464,9571,2178,6560,9909,14425,7330,7667,13238,7133,2429,2469,4255,6862,10569,2621,5884,1583,2484,687,2354,2927,3199,2254,1450,9472,8639,9477,18487,8559,8720,7043,9469,11000,10449,7453,9667,8240,9238,8288,11130,2342,8329,6489,5778,5829,6091,3653,3949,12866,9881,6670,3877,5210,5870,3084,10727
ECT,Ectorhinal area,Cortex,21082,24997,48386,24437,13269,19703,49866,24363,17213,4709,20707,29676,48439,26203,20312,45127,17644,14098,17772,17611,30319,26118,13033,16966,3174,8389,6620,6861,7995,11068,9438,7539,38839,30580,26465,57783,27461,22725,24114,32910,23882,31550,24942,31380,30385,28476,21960,40892,10227,29974,18427,23535,21016,18498,21882,17858,37685,32414,17329,12083,21338,19931,9360,28756
PA,Posterior amygdalar nucleus,Cortex,4107,5481,9909,3429,4980,6765,12666,6955,4707,3724,3169,8510,12784,9392,5322,8128,2922,3707,8779,3319,9481,7775,4852,7165,2117,2035,3661,2523,1761,2217,4688,1464,12969,12531,5937,15523,6634,8570,6630,15227,9794,12823,10329,9115,11073,10920,10597,11866,2205,5200,1920,5530,5949,4526,6908,3826,7857,3648,8074,4692,8626,6368,4574,13716
BMA,Basomedial amygdalar nucleus,Cortex,10436,12041,21610,7646,9499,8875,19930,11798,9732,4989,7125,11847,22587,13769,10271,17308,6143,11110,17309,9851,17434,11257,11291,10178,4813,6166,7474,7102,3899,5884,8258,3921,26636,27112,16556,38458,12397,17681,11837,27637,16179,20115,11903,12896,16423,17582,16613,15658,6785,8028,3867,9423,13447,10870,13228,12859,14047,6226,12239,4680,20736,17940,11508,32176
BLA,Basolateral amygdalar nucleus,Cortex,17239,13513,32923,12875,9505,14283,19837,18258,11591,8503,8817,14557,22431,16838,12384,22539,6710,8568,16714,8613,23019,13731,8898,13840,4642,5820,6210,9526,3913,9418,7568,4485,17588,19472,13525,32821,13146,16498,11909,26529,24325,32040,17206,18784,20246,24994,23041,23011,10089,10429,5297,11913,15860,18170,15767,17420,14827,6749,10571,7104,16579,18330,7158,26932
LA,Lateral amygdalar nucleus,Cortex,21071,14883,30840,14770,10107,15883,20770,15823,4891,4073,6005,9059,14465,11944,8373,13408,4952,6527,11122,8496,15260,10130,4979,9093,2601,6499,7455,5964,5902,4053,4805,7225,17407,11380,10143,17260,10775,9257,11319,18977,11516,14646,9630,10581,12377,13494,12941,15310,7652,7722,3568,8289,11084,12256,14282,12296,8378,6606,6875,4452,14801,10205,8009,16444
EPv,Endopiriform nucleus ventral part,Cortex,4586,5194,9594,4657,4463,6417,7672,5438,5842,3011,3574,6703,10397,6109,5499,10326,3448,4398,6609,5477,9002,6535,4851,6259,2892,3549,2660,4930,2915,4381,3247,1464,10438,9082,5323,17369,6668,10177,5948,14331,9252,11063,5521,8522,6600,10424,8766,10653,3681,3492,3174,7584,4627,4916,4993,5196,7929,1907,5282,2970,8491,7956,4067,13458
EPd,Endopiriform nucleus dorsal part,Cortex,15187,15857,28328,10807,14027,16904,20583,11096,9425,11013,9799,13296,30759,13973,13981,30474,6913,12249,15748,19130,18044,9231,12480,10751,6523,8377,7908,7731,6987,11027,6651,5685,14767,13154,14125,24581,18681,26695,21331,43243,40244,42829,27078,34151,37151,36313,32061,41836,8153,9291,12555,19391,8213,10865,10053,8392,11421,6513,10041,4883,14281,13526,6067,22720
CLA,Claustrum,Cortex,8503,7302,22184,5180,7935,6274,5138,4262,5108,4840,3433,6791,15007,5739,6827,17674,2520,7308,6246,9445,6325,3689,5140,4302,4501,3954,4131,4665,4241,5116,3360,2873,7588,5775,6594,10604,10589,11424,11183,19814,17428,16463,14344,14992,18955,15110,14709,14158,5191,5698,5048,11622,5930,5530,7447,5669,4495,3040,3526,2252,4184,6104,1530,7966
VISrl,Rostrolateral visual area,Cortex,12726,7503,45768,19852,4045,18116,15946,15699,8004,2149,13170,11317,39178,11309,19464,12365,6802,10500,13782,18971,7480,8322,7719,3431,5578,12990,6862,9928,6820,9128,9381,5135,5733,16018,6575,21713,15827,26132,15654,37656,33762,25353,22252,28319,23780,30834,30915,32923,5898,21685,5939,23639,11682,11853,4112,9874,24639,16365,14962,2315,9925,1309,2356,15010
ACAv,Anterior cingulate area ventral part,Cortex,32878,23837,40957,9665,30371,20378,19501,25377,22414,16034,23677,42901,61112,24291,25286,58479,21642,34358,37213,47534,29358,45946,27729,19907,13761,19008,28688,13240,17864,31300,30760,20514,12179,20381,5205,32369,37911,51266,48306,90853,59765,56521,46743,51575,54527,58639,60869,52207,25003,19977,16667,43647,13700,10229,4873,6002,33301,26982,23893,8389,13068,5379,3778,7379
ACAd,Anterior cingulate area dorsal part,Cortex,39907,37754,57858,9941,32237,25627,15689,26178,33176,13341,17327,48644,55682,20163,38143,71236,20844,26754,36156,34487,23911,30735,30813,17967,17818,14959,13732,7640,13548,31875,26935,14884,11156,36608,9382,51893,46957,59626,49341,97051,72103,72523,69511,74189,61916,89511,81123,82271,23424,26450,14403,40189,17655,14856,5607,11703,46386,43149,25929,16456,14106,7760,1643,6156
VISpor,Postrhinal area,Cortex,23235,14606,25553,27802,11889,17053,16174,30683,12853,2601,26303,33255,37271,25470,39034,41628,16372,19737,17113,17639,22167,25316,12060,15943,7679,19128,5823,13370,10568,10643,13747,7699,26270,35442,33130,57098,35519,27388,25751,39454,30182,32869,24433,35000,25665,30458,23616,31759,7593,20314,17530,15873,28891,20998,17636,23257,37994,30658,24996,8671,17713,8792,13237,23242
MOp,Primary motor area,Cortex,123382,112026,267929,95476,79905,112433,72336,69578,42977,50688,47441,64399,111008,35646,87895,204373,22448,29032,51657,37355,23117,28996,34492,23436,10702,10772,14106,15187,14047,47347,25658,20645,16337,38806,23877,169985,68470,153370,46929,147157,224465,147500,154598,203316,158499,176760,207302,176521,49421,96929,63217,134238,52604,87817,50452,53127,72177,55135,63789,12246,23073,24735,7720,34163
